Name,Dates,Type,Status,Location,Link,Attachments,Notes
Syllabus Review; Functional Decomposition & User Action Flowcharts,"January 12, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
Install [E]CAD / git tools on laptops,"January 12, 2023",Lab,Not started,POD,,,
Functional Decomposition & User Action Flowcharts,"January 12, 2023 → January 19, 2023",📌 Assignment,Not started,Gradescope,,,
CAD Mini-Tasks,"January 17, 2023 → January 24, 2023",📌 Assignment,Not started,Gradescope,,,
Intro to CAD Workflows (Flange),"January 17, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
CAD Drawings and Assemblies,"January 19, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
CAD Tasks,"January 19, 2023",Lab,Not started,POD,,,
ECAD Schematic Capture,"January 24, 2023 → January 31, 2023",📌 Assignment,Not started,Gradescope,,,
Intro to ECAD (Schematic Capture),"January 24, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
ECAD Schematic Workflows,"January 26, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
ECAD Schmatics,"January 26, 2023",Lab,Not started,POD,,,
ECAD PCB Layout,"January 31, 2023 → February 7, 2023",📌 Assignment,Not started,Gradescope,,,
Intro to ECAD (PCB Layout),"January 31, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
"PCB Design (Single- and Double-Layered Boards, SMT vs. TH)","February 2, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
PCB Layout,"February 2, 2023",Lab,Not started,POD,,,
IV Pump Func. Decomp. & User Action Flowchart,"February 7, 2023 → February 14, 2023",📌 Assignment,Not started,Gradescope,,,
IV Infusion Pump Project,"February 7, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
IV Infusion Pump Project,"February 9, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
IV Infusion Pump Func. Decomp. & User Action Flowchart,"February 9, 2023",Lab,Not started,POD,,,
IV Pump Schematic Capture,"February 14, 2023 → February 21, 2023",📌 Assignment,Not started,Gradescope,,,
IV Pump Discrete Electronic Design,"February 14, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
IV Pump Schematic Capture,"February 16, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
IV Pump Schematic Capture,"February 16, 2023",Lab,Not started,POD,,,
Software Flowchart,"February 21, 2023 → February 28, 2023",📌 Assignment,Not started,Gradescope,,,
Microcontrollers: How to Choose,"February 21, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
Firmware Development,"February 23, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
Discrete Component Breadboard Testing & Software Flowcharts,"February 23, 2023",Lab,Not started,POD,,,
Firmware Dev: Interrupts,"February 28, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
IV Pump PCB Design,"March 2, 2023 → March 9, 2023",📌 Assignment,Not started,Gradescope,,,
Firmware Dev,"March 2, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
IV Pump PCB Design & Firmware Testing,"March 2, 2023",Lab,Not started,POD,,,
PCB Design,"March 7, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
PCB Design,"March 9, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
PCB Finalization (submit to mil),"March 9, 2023",Lab,Not started,POD,,,
Spring Break,"March 14, 2023",,Not started,,,,NO CLASS!!
Spring Break,"March 16, 2023",,Not started,,,,NO CLASS!!
Testing to Spec Assignment (Python),"March 21, 2023 → March 28, 2023",📌 Assignment,Not started,Gradescope,,,
Testing to Specification (95% CI),"March 21, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
IV Pump CAD Design,"March 23, 2023 → March 30, 2023",📌 Assignment,Not started,Gradescope,,,
CAD Design,"March 23, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
PCB Testing,"March 23, 2023",Lab,Not started,POD,,,
Fault Tree Analyses,"March 28, 2023 → April 4, 2023",📌 Assignment,Not started,Gradescope,,,
Fault Tree Analyses,"March 28, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
Fault Tree Analyses,"March 30, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
PCB Testing,"March 30, 2023",Lab,Not started,POD,,,
CAD Revisions (3D Printing),"April 4, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
Device Integration Redesign,"April 6, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
Device Integration,"April 6, 2023",Lab,Not started,POD,,,
Integration Time,"April 11, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
Integration Time,"April 13, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
Integrated Device Testing,"April 13, 2023",Lab,Not started,POD,,,
Careers in MedTech,"April 18, 2023",📒 Lecture,Not started,Lecture Room (TBD),,,
Final Design Reports Due,"April 24, 2023 9:00 AM",📌 Assignment,Not started,Gradescope,,,
