Name,Authors / Provider,Link,Type,Required / Optional,Notes,Attachments
KiCad,,https://kicad.org/,ECAD,Required,Be sure to download the latest stable version (≥ 6.x).,
Onshape,,https://duke.onshape.com,CAD,Required,You will be invited to this Duke team environment.,
Teams,,https://teams.microsoft.com,Communication,Required,Will be added by Dr. Palmeri to team.,
Practical Electronics for Inventors,Scherz & Monk,https://find.library.duke.edu/catalog/DUKE009381868,Text,Required,May require being on Duke VPN when off campus.,
Product Design and Development,Ulrich & Sppinger,http://www.ulrich-eppinger.net/,Text,Optional,,"Texts%20&%20Resources%20ba5854677a1b42af8eebb2eb1d413a92/FunctionalDecomposition.pdf, Texts%20&%20Resources%20ba5854677a1b42af8eebb2eb1d413a92/Specifications.pdf"
Design of Biomedical Devices and Systems,"King, Fries & Johnson",https://www.crcpress.com/Design-of-Biomedical-Devices-and-Systems/King-Fries-Johnson/p/book/9781466569133,Text,Optional,,
Engineering by Design,Voland,https://www.pearson.com/us/higher-education/program/Voland-Engineering-by-Design-2nd-Edition/PGM73262.html,Text,Optional,,
Engineering Design: A project-based introduction,"Dym, Little & Orwin",https://www.wiley.com/en-us/Engineering+Design%3A+A+Project+Based+Introduction%2C+4th+Edition-p-9781118324585,Text,Optional,,
Handbook of Biological Statistics,McDonald,https://www.biostathandbook.com/,Text,Required,Or an equivalent statistical resource…,
MeiserTask,,https://meisertask.com,Kanban Board,Required,Or use Trello…,
Trello,,https://trello.com,Kanban Board,Required,Or use MeiserTask…,
http://diagrams.net (draw.io),,https://diagrams.net,Diagramming,Required,,
Mindmeister,,https://mindmeister.com,Brainstorming,,,
GitLab,,https://gitlab.oit.duke.edu,VCS,,Required for software projects.,
What is a Kanban Board?,,https://kanbanize.com/kanban-resources/getting-started/what-is-kanban-board,"Kanban Board, Reading",,,
Thingiverse,,https://www.thingiverse.com,CAD,,,
NIH 3D Print Exchange,,https://3dprint.nih.gov/,CAD,,,
Learn Scrum in Under 10 Min,,https://www.axosoft.com/scrum,"Agile, Reading",,,
Functional Decomposition & Specifications,Ulrich & Eppinger,,Reading,Required,,Texts%20&%20Resources%20ba5854677a1b42af8eebb2eb1d413a92/func_decomp__specs_readings.pdf
